,use
2018-08-10 04:00:00,4612.9126
2018-08-10 05:00:00,4755.4917
2018-08-10 06:00:00,4948.3696
2018-08-10 07:00:00,5142.595
2018-08-10 08:00:00,5310.8726
2018-08-10 09:00:00,5452.8516
2018-08-10 10:00:00,5585.356
2018-08-10 11:00:00,5728.983
2018-08-10 12:00:00,5898.899
2018-08-10 13:00:00,6100.133
2018-08-10 14:00:00,6325.1113
2018-08-10 15:00:00,6553.093
2018-08-10 16:00:00,6753.103
2018-08-10 17:00:00,6891.097
2018-08-10 18:00:00,6938.9897
2018-08-10 19:00:00,6880.839
2018-08-10 20:00:00,6713.1304
2018-08-10 21:00:00,6440.5
2018-08-10 22:00:00,6071.3564
2018-08-10 23:00:00,5616.8706
2018-08-11 00:00:00,5256.5327
2018-08-11 01:00:00,5019.435
2018-08-11 02:00:00,4824.166
2018-08-11 03:00:00,4720.3643
2018-08-11 04:00:00,4730.053
2018-08-11 05:00:00,4837.3823
2018-08-11 06:00:00,4999.3735
2018-08-11 07:00:00,5170.4824
2018-08-11 08:00:00,5324.324
2018-08-11 09:00:00,5459.6885
2018-08-11 10:00:00,5592.0537
2018-08-11 11:00:00,5740.8564
2018-08-11 12:00:00,5920.159
2018-08-11 13:00:00,6133.5483
2018-08-11 14:00:00,6371.4683
2018-08-11 15:00:00,6610.8823
2018-08-11 16:00:00,6818.912
2018-08-11 17:00:00,6960.891
2018-08-11 18:00:00,7009.833
2018-08-11 19:00:00,6952.1304
2018-08-11 20:00:00,6786.663
2018-08-11 21:00:00,6519.5063
2018-08-11 22:00:00,6159.2617
2018-08-11 23:00:00,5716.3916
2018-08-12 00:00:00,5369.355
2018-08-12 01:00:00,5130.6074
2018-08-12 02:00:00,4920.9395
2018-08-12 03:00:00,4791.244
2018-08-12 04:00:00,4766.3135
2018-08-12 05:00:00,4835.008
2018-08-12 06:00:00,4960.1836
2018-08-12 07:00:00,5101.021
2018-08-12 08:00:00,5233.2104
2018-08-12 09:00:00,5355.313
2018-08-12 10:00:00,5481.659
2018-08-12 11:00:00,5630.5938
2018-08-12 12:00:00,5815.2134
2018-08-12 13:00:00,6037.857
2018-08-12 14:00:00,6287.1343
2018-08-12 15:00:00,6537.719
2018-08-12 16:00:00,6754.64
2018-08-12 17:00:00,6902.2583
2018-08-12 18:00:00,6954.3022
2018-08-12 19:00:00,6899.2417
2018-08-12 20:00:00,6738.3276
2018-08-12 21:00:00,6479.3247
2018-08-12 22:00:00,6131.5195
2018-08-12 23:00:00,5705.3267
2018-08-13 00:00:00,5373.959
2018-08-13 01:00:00,5133.5127
2018-08-13 02:00:00,4911.8296
2018-08-13 03:00:00,4758.6514
2018-08-13 04:00:00,4699.6978
2018-08-13 05:00:00,4728.173
2018-08-13 06:00:00,4813.273
2018-08-13 07:00:00,4919.5996
2018-08-13 08:00:00,5025.3677
2018-08-13 09:00:00,5129.0454
2018-08-13 10:00:00,5243.8145
2018-08-13 11:00:00,5387.0366
2018-08-13 12:00:00,5571.1743
2018-08-13 13:00:00,5797.8823
2018-08-13 14:00:00,6054.6265
2018-08-13 15:00:00,6314.412
2018-08-13 16:00:00,6540.4536
2018-08-13 17:00:00,6695.898
2018-08-13 18:00:00,6754.515
2018-08-13 19:00:00,6706.1187
2018-08-13 20:00:00,6553.9355
2018-08-13 21:00:00,6307.486
2018-08-13 22:00:00,5977.172
2018-08-13 23:00:00,5573.9077
2018-08-14 00:00:00,5261.2095
2018-08-14 01:00:00,5020.2964
2018-08-14 02:00:00,4791.058
2018-08-14 03:00:00,4619.2124
2018-08-14 04:00:00,4529.4463
2018-08-14 05:00:00,4518.804
2018-08-14 06:00:00,4563.1045
2018-08-14 07:00:00,4632.8213
2018-08-14 08:00:00,4708.9795
2018-08-14 09:00:00,4790.0034
2018-08-14 10:00:00,4887.9263
2018-08-14 11:00:00,5019.29
2018-08-14 12:00:00,5196.432
2018-08-14 13:00:00,5421.198
2018-08-14 14:00:00,5681.0347
2018-08-14 15:00:00,5948.3438
2018-08-14 16:00:00,6185.0737
2018-08-14 17:00:00,6352.8384
2018-08-14 18:00:00,6424.405
2018-08-14 19:00:00,6389.7666
2018-08-14 20:00:00,6253.4604
2018-08-14 21:00:00,6026.7417
2018-08-14 22:00:00,5721.465
2018-08-14 23:00:00,5349.313
2018-08-15 00:00:00,5073.455
2018-08-15 01:00:00,4847.28
2018-08-15 02:00:00,4700.5225
2018-08-15 03:00:00,4666.865
2018-08-15 04:00:00,4748.3135
2018-08-15 05:00:00,4909.0825
2018-08-15 06:00:00,5089.786
2018-08-15 07:00:00,5240.1714
2018-08-15 08:00:00,5342.3223
2018-08-15 09:00:00,5409.5264
2018-08-15 10:00:00,5470.627
2018-08-15 11:00:00,5555.4
2018-08-15 12:00:00,5686.295
2018-08-15 13:00:00,5873.764
2018-08-15 14:00:00,6112.449
2018-08-15 15:00:00,6379.0654
2018-08-15 16:00:00,6635.021
2018-08-15 17:00:00,6835.4976
2018-08-15 18:00:00,6942.2163
2018-08-15 19:00:00,6933.002
2018-08-15 20:00:00,6802.8154
2018-08-15 21:00:00,6557.5303
2018-08-15 22:00:00,6206.752
2018-08-15 23:00:00,5761.2407
2018-08-16 00:00:00,5406.3
2018-08-16 01:00:00,5211.497
2018-08-16 02:00:00,5076.276
2018-08-16 03:00:00,5046.451
2018-08-16 04:00:00,5132.4263
2018-08-16 05:00:00,5298.3584
2018-08-16 06:00:00,5482.8335
2018-08-16 07:00:00,5634.8735
2018-08-16 08:00:00,5737.225
2018-08-16 09:00:00,5804.524
2018-08-16 10:00:00,5866.9478
2018-08-16 11:00:00,5955.23
2018-08-16 12:00:00,6092.4326
2018-08-16 13:00:00,6289.206
2018-08-16 14:00:00,6539.446
2018-08-16 15:00:00,6817.624
2018-08-16 16:00:00,7081.7856
2018-08-16 17:00:00,7284.342
2018-08-16 18:00:00,7386.835
2018-08-16 19:00:00,7369.841
2018-08-16 20:00:00,7232.047
2018-08-16 21:00:00,6981.4673
2018-08-16 22:00:00,6627.1836
2018-08-16 23:00:00,6176.925
2018-08-17 00:00:00,5832.7637
2018-08-17 01:00:00,5647.951
2018-08-17 02:00:00,5507.464
2018-08-17 03:00:00,5464.2734
2018-08-17 04:00:00,5536.451
2018-08-17 05:00:00,5692.2783
2018-08-17 06:00:00,5871.29
2018-08-17 07:00:00,6021.2363
2018-08-17 08:00:00,6122.941
2018-08-17 09:00:00,6189.7124
2018-08-17 10:00:00,6251.1074
2018-08-17 11:00:00,6337.4634
2018-08-17 12:00:00,6471.4663
2018-08-17 13:00:00,6663.582
2018-08-17 14:00:00,6907.853
2018-08-17 15:00:00,7179.153
2018-08-17 16:00:00,7436.0757
2018-08-17 17:00:00,7631.8154
2018-08-17 18:00:00,7729.0376
2018-08-17 19:00:00,7709.6733
2018-08-17 20:00:00,7573.5776
2018-08-17 21:00:00,7329.3164
2018-08-17 22:00:00,6985.6294
2018-08-17 23:00:00,6549.132
